1st iteration,Deliver Goods / Equipment ZS+AC0-Persona+AC0-cot,,,,,,Food Logistics ZS+AC0-Persona+AC0-cot,,,
,gpt+AC0-oss r1,gpt+AC0-oss r2,gpt+AC0-oss r3,gpt+AC0-oss r4,gpt+AC0-oss r5,gpt+AC0-oss r1,gpt+AC0-oss r2,gpt+AC0-oss r3,gpt+AC0-oss r4,gpt+AC0-oss r5
T,100,100,100,100,100,95,100,100,100,100
MAS,85,95,50,50,50,86,50,78,95,93
GTC+AF8-achieve,0,100,0,100,100,100,100,100,100,100
GTC+AF8-query,80,100,0,0,0,100,100,100,100,100
GTC+AF8-perform,80,100,90,94,94,100,100,100,100,100
IC,80,75,50,91,83,100,50,91,91,75
NR,100,100,100,100,100,100,100,100,100,100
SP1,100,100,100,100,100,75,50,100,50,100
SP2,33,33,33,33,33,100,66,88,100,87
,,,,,,,,,,
,,,,,,,,,,
,Deliver Goods / Equipment FS+AC0-Persona+AC0-cot,,,,,,Food Logistics FS+AC0-Persona+AC0-cot,,,
,gpt+AC0-oss r1,gpt+AC0-oss r2,gpt+AC0-oss r3,gpt+AC0-oss r4,gpt+AC0-oss r5,gpt+AC0-oss r1,gpt+AC0-oss r2,gpt+AC0-oss r3,gpt+AC0-oss r4,gpt+AC0-oss r5
T,25,100,100,100,100,100,100,100,100,100
MAS,-,40,50,33,38,97,91,91,89,100
GTC+AF8-achieve,-,100,100,0,100,0,100,0,100,100
GTC+AF8-query,-,100,100,100,100,100,100,100,100,100
GTC+AF8-perform,-,100,100,94,100,76,100,88,100,100
IC,-,75,83,83,75,83,83,91,91,91
NR,-,100,100,100,100,100,100,100,100,100
SP1,-,50,50,50,100,50,50,100,50,50
SP2,-,66,66,100,100,100,66,100,100,100
,,,,,,,,,,
,,,,,,,,,,
,2nd iteration,,,,,,,,,
,Deliver Goods / Equipment ZS+AC0-Persona+AC0-cot,,,,,,Food Logistics ZS+AC0-Persona+AC0-cot,,,
,gpt+AC0-oss r1,gpt+AC0-oss r2,gpt+AC0-oss r3,gpt+AC0-oss r4,gpt+AC0-oss r5,gpt+AC0-oss r1,gpt+AC0-oss r2,gpt+AC0-oss r3,gpt+AC0-oss r4,gpt+AC0-oss r5
T,100,100,100,100,100,100,100,100,100,100
MAS,44,95,50,95,40,95,92,91,75,92
GTC+AF8-achieve,100,100,100,50,100,100,100,100,66,100
GTC+AF8-query,100,100,0,100,0,100,100,100,100,100
GTC+AF8-perform,100,100,90,83,92,100,100,100,100,100
IC,91,91,100,91,100,100,91,91,83,91
NR,100,100,100,100,100,100,100,100,100,100
SP1,100,100,50,100,100,100,100,100,68,100
SP2,100,100,66,100,66,100,100,100,100,100
,,,,,,,,,,
,,,,,,,,,,
,Deliver Goods / Equipment FS+AC0-Persona+AC0-cot,,,,,,Food Logistics FS+AC0-Persona+AC0-cot,,,
,gpt+AC0-oss r1,gpt+AC0-oss r2,gpt+AC0-oss r3,gpt+AC0-oss r4,gpt+AC0-oss r5,gpt+AC0-oss r1,gpt+AC0-oss r2,gpt+AC0-oss r3,gpt+AC0-oss r4,gpt+AC0-oss r5
T,100,-,100,100,100,100,100,100,100,100
MAS,45,20,50,36,90,93,91,90,96,93
GTC+AF8-achieve,85,-,100,100,100,85,100,100,66,100
GTC+AF8-query,100,-,100,100,100,100,100,100,100,100
GTC+AF8-perform,90,-,100,100,95,92,100,100,97,100
IC,83,-,83,100,91,91,91,91,100,91
NR,100,-,100,100,100,100,100,100,100,100
SP1,100,-,100,100,100,100,100,100,75,50
SP2,66,-,66,100,100,100,100,100,100,100
